ID,NAME,WEBSITE
0014100000MUZz3AAH,"Autoliv, Inc.",autoliv.com
0014100000MUZz5AAH,"Motorola Solutions, Inc.",motorolasolutions.com
0014100000MUZz6AAH,"Crown Holdings, Inc.",crowncork.com
0014100000MUZz7AAH,"SunTrust Banks, Inc.",suntrust.com
0014100000MUZz8AAH,Campbell Soup Company,campbellsoupcompany.com
0014100000MUZz9AAH,"Fidelity National Financial, Inc.",fnf.com
0014100000MUZzAAAX,"HD Supply Holdings, Inc.",hdsupply.com
0014100000MUZzBAAX,Caesars Entertainment Corporation,caesars.com
0014100000MUZzCAAX,"Darden Restaurants, Inc.",darden.com
0014100000MUZzDAAX,Weyerhaeuser Company,weyerhaeuser.com
0014100000MUZzEAAX,Ball Corporation,ball.com
0014100000MUZzFAAX,Precision Castparts Corp.,precast.com
0014100000MUZzGAAX,Masco Corporation,masco.com
0014100000MUZzHAAX,"Universal Health Services, Inc.",uhsinc.com
0014100000MUZzIAAX,"Republic Services, Inc.",republicservices.com
0014100000MUZz4AAH,Hormel Foods Corporation,hormelfoods.com
0014100000MUZzJAAX,MasterCard Incorporated,mastercard.com
0014100000MUZzKAAX,Newmont Mining Corporation,newmont.com
0014100000MUZzLAAX,Broadcom Corporation,broadcom.com
0014100000MUZzMAAX,Reynolds American Inc.,reynoldsamerican.com
0014100000MUZzNAAX,PVH Corp.,pvh.com
0014100000MUZzOAAX,"Charter Communications, Inc.",charter.com
0014100000MUZzPAAX,AECOM Technology Corporation,aecom.com
0014100000MUZzQAAX,"CenterPoint Energy, Inc.",centerpointenergy.com
0014100000MUZzRAAX,Pacific Life,pacificlife.com
0014100000MUZzSAAX,Thrivent Financial for Lutherans,thrivent.com
0014100000MUZzTAAX,"Becton, Dickinson and Company",bd.com
0014100000MUZzUAAX,"Franklin Resources, Inc.",franklinresources.com
0014100000MUZzVAAX,Tenneco Inc.,tenneco.com
0014100000MUZzWAAX,TravelCenters of America LLC,tatravelcenters.com
0014100000MUZzXAAX,"Avis Budget Group, Inc.",avisbudgetgroup.com
0014100000MUZzYAAX,"Facebook, Inc.",facebook.com
0014100000MUZzZAAX,"Dollar Tree, Inc.",dollartree.com
0014100000MUZzaAAH,Corning Incorporated,corning.com
0014100000MUZzbAAH,Ashland Inc.,ashland.com
0014100000MUZzcAAH,Sealed Air Corporation,sealedair.com
0014100000MUZzdAAH,"Core-Mark Holding Company, Inc.",core-mark.com
0014100000MUZzeAAH,Oshkosh Corporation,oshkoshcorporation.com
0014100000MUZzfAAH,"Coca-Cola Enterprises, Inc.",cokecce.com
0014100000MUZzgAAH,"WESCO International, Inc.",wesco.com
0014100000MUZzhAAH,"Applied Materials, Inc.",appliedmaterials.com
0014100000MUZziAAH,Visteon Corporation,visteon.com
0014100000MUZzjAAH,BorgWarner Inc.,borgwarner.com
0014100000MUZzkAAH,"Spectrum Group International, Inc.",spectrumgi.com
0014100000MUZzlAAH,"Oaktree Capital Group, LLC",oaktreecapital.com
0014100000MUZzmAAH,"Steel Dynamics, Inc.",steeldynamics.com
0014100000MUZznAAH,Jarden Corporation,jarden.com
0014100000MUZzoAAH,"Mohawk Industries, Inc.",mohawkind.com
0014100000MUZzpAAH,Terex Corporation,terex.com
0014100000MUZzqAAH,Northeast Utilities,nu.com
0014100000MUZzrAAH,"KBR, Inc.",kbr.com
0014100000MUZzsAAH,Fifth Third Bancorp,53.com
0014100000MUZztAAH,UGI Corporation,ugicorp.com
0014100000MUZzuAAH,"CBRE Group, Inc.",cbre.com
0014100000MUZzvAAH,Quest Diagnostics Incorporated,questdiagnostics.com
0014100000MUZzwAAH,Peabody Energy Corporation,peabodyenergy.com
0014100000MUZzxAAH,The Hershey Company,thehersheycompany.com
0014100000MUZzyAAH,Boston Scientific Corporation,bostonscientific.com
0014100000MUZzzAAH,"FMC Technologies, Inc.",fmctechnologies.com
0014100000MUa00AAD,"The Interpublic Group of Companies, Inc.",interpublic.com
0014100000MUa01AAD,Commercial Metals Company,cmc.com
0014100000MUa02AAD,"The Pantry, Inc.",thepantry.com
0014100000MUa03AAD,"Owens-Illinois, Inc.",o-i.com
0014100000MUa04AAD,American Family Ins. Group,amfam.com
0014100000MUa05AAD,Ralph Lauren Corporation,ralphlauren.com
0014100000MUa06AAD,Biogen Idec Inc.,biogenidec.com
0014100000MUa07AAD,"PetSmart, Inc.",petm.com
0014100000MUa08AAD,Mylan Inc.,mylan.com
0014100000MUa09AAD,Symantec Corporation,symantec.com
0014100000MUa0AAAT,Ameren Corporation,ameren.com
0014100000MUa0BAAT,"The Williams Companies, Inc.",williams.com
0014100000MUa0CAAT,"Barnes &amp; Noble, Inc.",barnesandnobleinc.com
0014100000MUZu5AAH,Exxon Mobil,exxonmobil.com
0014100000MUZu6AAH,Chevron,chevron.com
0014100000MUZu7AAH,Berkshire Hathaway,berkshirehathaway.com
0014100000MUZu8AAH,Apple,apple.com
0014100000MUZu9AAH,Phillips 66,phillips66.com
0014100000MUZuAAAX,General Motors,gm.com
0014100000MUZuBAAX,Ford Motor,ford.com
0014100000MUZuCAAX,General Electric,ge.com
0014100000MUZuDAAX,Valero Energy,valero.com
0014100000MUZuEAAX,AT&amp;T,att.com
0014100000MUZuFAAX,CVS Caremark,info.cvscaremark.com
0014100000MUZuGAAX,Fannie Mae,fanniemae.com
0014100000MUZuHAAX,UnitedHealth Group,unitedhealthgroup.com
0014100000MUZuIAAX,McKesson,mckesson.com
0014100000MUZuJAAX,Verizon Communications,verizon.com
0014100000MUZuKAAX,Hewlett-Packard,hp.com
0014100000MUZuLAAX,J.P. Morgan Chase &amp; Co.,jpmorganchase.com
0014100000MUZuMAAX,Costco Wholesale,costco.com
0014100000MUZuNAAX,Express Scripts Holding,express-scripts.com
0014100000MUZuOAAX,Bank of America,bankofamerica.com
0014100000MUZuPAAX,Cardinal Health,cardinal.com
0014100000MUZuQAAX,International Business Machines,ibm.com
0014100000MUZuRAAX,Kroger,thekrogerco.com
0014100000MUZuSAAX,Marathon Petroleum,marathonpetroleum.com
0014100000MUa0DAAT,"Huntington Ingalls Industries, Inc.",huntingtoningalls.com
0014100000MUa0EAAT,The Priceline Group Inc.,pricelinegroup.com
0014100000MUa0FAAT,"Agilent Technologies, Inc.",agilent.com
0014100000MUa0GAAT,Dana Holding Corporation,dana.com
0014100000MUa0HAAT,"Dillard's, Inc.",dillards.com
0014100000MUa0IAAT,Seaboard Corporation,seaboardcorp.com
0014100000MUa0JAAT,"Vanguard Health Systems, Inc.",tenethealth.com
0014100000MUa0KAAT,"Casey's General Stores, Inc.",caseys.com
0014100000MUa0LAAT,"O'Reilly Automotive, Inc.",oreillyauto.com
0014100000MUa0MAAT,The Blackstone Group L.P.,blackstone.com
0014100000MUa0NAAT,Mutual of Omaha Insurance Company,mutualofomaha.com
0014100000MUa0OAAT,"Molina Healthcare, Inc.",molinahealthcare.com
0014100000MUa0PAAT,CMS Energy Corporation,cmsenergy.com
0014100000MUa0QAAT,Targa Resources Corp.,targaresources.com
0014100000MUa0RAAT,"Quanta Services, Inc.",quantaservices.com
0014100000MUa0SAAT,Cablevision Systems Corporation,cablevision.com
0014100000MUa0TAAT,Avery Dennison Corporation,averydennison.com
0014100000MUa0UAAT,Celanese Corporation,celanese.com
0014100000MUa0VAAT,"Foot Locker, Inc.",footlocker-inc.com
0014100000MUZuTAAX,Citigroup,citigroup.com
0014100000MUZuUAAX,Archer Daniels Midland,adm.com
0014100000MUZuVAAX,AmerisourceBergen,amerisourcebergen.com
0014100000MUZuWAAX,Wells Fargo,wellsfargo.com
0014100000MUZuXAAX,Boeing,boeing.com
0014100000MUZuYAAX,Procter &amp; Gamble,pg.com
0014100000MUZuZAAX,Freddie Mac,freddiemac.com
0014100000MUZuaAAH,Home Depot,homedepot.com
0014100000MUZubAAH,Microsoft,microsoft.com
0014100000MUZucAAH,Amazon.com,amazon.com
0014100000MUZudAAH,Target,target.com
0014100000MUZueAAH,Walgreen Co.,walgreens.com
0014100000MUZufAAH,WellPoint,wellpoint.com
0014100000MUZugAAH,Johnson &amp; Johnson,jnj.com
0014100000MUZuhAAH,American International Group,aig.com
0014100000MUZuiAAH,State Farm Insurance Cos.,statefarm.com
0014100000MUZujAAH,MetLife,metlife.com
0014100000MUZukAAH,PepsiCo,pepsico.com
0014100000MUZulAAH,Comcast,comcastcorporation.com
0014100000MUZumAAH,United Technologies,utc.com
0014100000MUZunAAH,Google,google.com
0014100000MUZuoAAH,ConocoPhillips,conocophillips.com
0014100000MUZupAAH,Dow Chemical,dow.com
0014100000MUZuqAAH,Caterpillar,caterpillar.com
0014100000MUZurAAH,United Parcel Service,ups.com
0014100000MUZusAAH,Pfizer,pfizer.com
0014100000MUZutAAH,Lowe's Companies,lowes.com
0014100000MUZuuAAH,Intel Corporation,intel.com
0014100000MUZuvAAH,"Energy Transfer Equity, L.P.",energytransfer.com
0014100000MUZuwAAH,"Cisco Systems, Inc.",cisco.com
0014100000MUZuxAAH,Enterprise Products Partners L.P.,enterpriseproducts.com
0014100000MUZuyAAH,Aetna Inc.,aetna.com
0014100000MUZuzAAH,The Coca-Cola Company,coca-colacompany.com
0014100000MUZv0AAH,Lockheed Martin Corporation,lockheedmartin.com
0014100000MUZv1AAH,"Best Buy Co., Inc.",bestbuy.com
0014100000MUZv2AAH,The Walt Disney Company,disney.com
0014100000MUZv3AAH,CHS Inc.,chsinc.com
0014100000MUZv4AAH,Sysco Corporation,sysco.com
0014100000MUZv5AAH,FedEx Corporation,fedex.com
0014100000MUZv6AAH,"Merck &amp; Co., Inc.",merck.com
0014100000MUZv7AAH,INTL FCStone Inc.,intlfcstone.com
0014100000MUZv8AAH,Safeway Inc.,safeway.com
0014100000MUZv9AAH,"Johnson Controls, Inc.",johnsoncontrols.com
0014100000MUZvAAAX,Ingram Micro Inc.,ingrammicro.com
0014100000MUZvBAAX,"Plains GP Holdings, L.P.",plainsallamerican.com
0014100000MUZvCAAX,World Fuel Services Corporation,wfscorp.com
0014100000MUZvDAAX,"Prudential Financial, Inc.",prudential.com
0014100000MUZvEAAX,Humana Inc.,humana.com
0014100000MUZvFAAX,"The Goldman Sachs Group, Inc.",gs.com
0014100000MUZvGAAX,Tesoro Corporation,tsocorp.com
0014100000MUZvHAAX,Liberty Mutual Holding Company Inc.,libertymutual.com
0014100000MUZvIAAX,Honeywell International Inc.,honeywell.com
0014100000MUZvJAAX,"United Continental Holdings, Inc.",unitedcontinentalholdings.com
0014100000MUZvKAAX,"HCA Holdings, Inc.",hcahealthcare.com
0014100000MUZvLAAX,Deere &amp; Company,deere.com
0014100000MUZvMAAX,"Delta Air Lines, Inc.",delta.com
0014100000MUZvNAAX,Oracle Corporation,oracle.com
0014100000MUZvOAAX,Morgan Stanley,morganstanley.com
0014100000MUZvPAAX,Hess Corporation,hess.com
0014100000MUZvQAAX,"Twenty-First Century Fox, Inc.",21cf.com
0014100000MUZvRAAX,E.I. du Pont de Nemours and Company,dupont.com
0014100000MUZvSAAX,Sears Holdings Corporation,searsholdings.com
0014100000MUZvTAAX,New York Life Insurance Company,newyorklife.com
0014100000MUZvUAAX,"Mondelez International, Inc.",mondelezinternational.com
0014100000MUZvVAAX,American Express Company,americanexpress.com
0014100000MUZvWAAX,Nationwide Mutual Insurance Co.,nationwide.com
0014100000MUZvXAAX,The Allstate Corporation,allstate.com
0014100000MUZvYAAX,"Tyson Foods, Inc.",tysonfoods.com
0014100000MUZvZAAX,Supervalu Inc.,supervalu.com
0014100000MUZvaAAH,TIAA-CREF,tiaa-cref.org
0014100000MUa0WAAT,Celgene Corporation,celgene.com
0014100000MUa0XAAT,"Advance Auto Parts, Inc.",advanceautoparts.com
0014100000MUZvbAAH,Massachusetts Mutual Life Insurance Company,massmutual.com
0014100000MUZvcAAH,CIGNA Corporation,cigna.com
0014100000MUZvdAAH,DIRECTV,directv.com
0014100000MUZveAAH,General Dynamics Corporation,generaldynamics.com
0014100000MUZvfAAH,Philip Morris International Inc.,pmi.com
0014100000MUZvgAAH,3M Company,3m.com
0014100000MUZvhAAH,Time Warner Inc.,timewarner.com
0014100000MUZviAAH,Halliburton Company,halliburton.com
0014100000MUZvjAAH,"Publix Super Markets, Inc.",publix.com
0014100000MUZvkAAH,International Paper Company,internationalpaper.com
0014100000MUZvlAAH,McDonald's Corporation,mcdonalds.com
0014100000MUZvmAAH,"Macy's, Inc.",macysinc.com
0014100000MUZvnAAH,"The TJX Companies, Inc.",tjx.com
0014100000MUZvoAAH,Fluor Corporation,fluor.com
0014100000MUZvpAAH,"Northwestern Mutual Life Insurance Company,Inc.",northwesternmutual.com
0014100000MUZvqAAH,Tech Data Corporation,techdata.com
0014100000MUZvrAAH,American Airlines Group Inc.,aa.com
0014100000MUZvsAAH,"The Hartford Financial Services Group, Inc.",thehartford.com
0014100000MUZvtAAH,"The Travelers Companies, Inc.",travelers.com
0014100000MUZvuAAH,"Nike, Inc.",nikeinc.com
0014100000MUZvvAAH,Occidental Petroleum Corporation,oxy.com
0014100000MUZvwAAH,"Avnet, Inc.",avnet.com
0014100000MUZvxAAH,Rite Aid Corporation,riteaid.com
0014100000MUZvyAAH,Exelon Corporation,exeloncorp.com
0014100000MUa0YAAT,"Mattel, Inc.",mattel.com
0014100000MUa0ZAAT,"Live Nation Entertainment, Inc.",livenation.com
0014100000MUa0aAAD,General Cable Corporation,generalcable.com
0014100000MUa0bAAD,"Ryder System, Inc.",ryder.com
0014100000MUa0cAAD,"EMCOR Group, Inc.",emcorgroup.com
0014100000MUa0dAAD,"Allergan, Inc.",allergan.com
0014100000MUa0eAAD,W.R. Berkley Corporation,wrberkley.com
0014100000MUa0fAAD,"Rockwell Automation, Inc.",rockwellautomation.com
